None	99999	0
99999	35258	0.585435
35258	87357	0.676508
87357	3025	3.917202
3025	8723	4.021035
8723	48338	4.056995
3025	531	4.086150
3025	1930	4.244996
1930	43798	4.293076
43798	11812	4.309884
11812	17910	4.542883
1930	69	4.690483
69	58585	4.722899
531	85436	4.758985
69	43649	4.765106
1930	20751	4.810884
1930	73943	4.815951
69	1699	4.871166
69	2612	4.888281
531	2328	4.899580
69	11283	4.928818
11812	23106	4.947491
11283	50929	4.988832
69	64987	5.009377
69	6180	5.040949
1930	34940	5.059902
2612	60826	5.076991
48338	2137	5.078310
1930	4512	5.097338
1699	99769	5.154544
73943	82846	5.187952
531	61166	5.234313
2612	95421	5.251157
1699	1490	5.292621
69	31195	5.306158
1930	13129	5.309490
69	28566	5.329268
69	6154	5.398901
99769	86449	5.410243
69	26437	5.412292
1930	6069	5.425270
1930	67846	5.447105
1490	2429	5.481259
11283	30423	5.514417
69	58822	5.566758
20751	76576	5.568885
20751	22390	5.583408
1699	24109	5.592454
69	48655	5.662895
69	4997	5.691565
531	88043	5.707726
2328	27825	5.735700
4512	49469	5.739773
69	97368	5.816539
69	55839	5.835771
1699	27970	5.900762
69	59883	5.909334
69	4786	5.912351
35258	27478	5.959792
1699	14766	5.972933
1490	2022	6.095291
11812	17	6.127026
17	19270	6.133221
2022	33761	6.140428
1699	83088	6.169868
69	34414	6.175368
2328	76310	6.194765
531	48152	6.205623
11812	90602	6.210585
2429	793	6.244914
69	890	6.245499
531	65407	6.250092
890	29746	6.261217
69	13896	6.275699
2137	1864	6.278309
17	62457	6.295640
27478	60995	6.303779
83088	931	6.339068
4512	45341	6.370057
2022	14916	6.389486
2022	15297	6.399645
17	4514	6.410812
2328	17096	6.412803
69	27017	6.412996
2612	20214	6.422107
69	56400	6.433558
1490	74722	6.435772
1699	10907	6.437611
1699	95661	6.450710
1930	1741	6.456230
793	49764	6.468656
4512	12769	6.477087
69	735	6.499867
17096	1594	6.533566
27478	41425	6.584656
41425	90986	6.586693
17	41100	6.590589
69	14134	6.591871
17	51207	6.597826
17	55179	6.604320
2612	9357	6.607338
2612	1271	6.608221
2328	96819	6.617422
1594	6357	6.628984
793	78237	6.641718
17096	92596	6.644798
67846	51480	6.661416
1930	26892	6.663788
