IDREC,IDTR,TIME_TR
99999,NA,0
42584,99999,3.398230
64849,42584,4.239588
891,42584,6.696034
5964,891,6.845977
80326,891,7.327896
11,80326,8.078714
1744,11,8.144296
94029,11,8.154984
25945,1744,8.274457
76453,11,8.278106
3779,5964,8.310108
29036,891,8.318957
9844,5964,8.324309
3231,3779,8.418080
19677,11,8.446117
6885,11,8.455314
48724,6885,8.458098
25471,11,8.481714
63651,891,8.506649
40045,11,8.520332
952,11,8.529785
928,11,8.537625
11753,11,8.537966
10875,11,8.557497
77030,5964,8.601188
34059,11,8.625215
13896,952,8.636866
78496,11,8.639681
25774,11,8.775596
87265,1744,8.796715
70309,11,8.866005
34577,3231,8.874253
4431,11,8.919932
43355,1744,8.949246
59026,11,8.964725
618,11,9.026666
6214,11,9.061207
40675,11,9.078026
50977,29036,9.086670
54445,11,9.133832
60565,10875,9.156827
5371,11,9.161192
5953,1744,9.168696
51365,9844,9.212285
10941,618,9.240921
11205,6214,9.306789
17271,891,9.394233
23838,6885,9.402939
2417,11,9.433128
29725,6885,9.442762
882,60565,9.443041
85604,11,9.451879
4817,952,9.451928
78872,4817,9.518413
86691,882,9.567787
13034,11,9.570460
19184,11,9.573809
85303,2417,9.580455
28723,3231,9.584847
12469,11,9.593276
15763,952,9.595197
24171,882,9.608958
5897,11753,9.622177
8267,5964,9.623516
3759,11,9.685212
27151,15763,9.697962
63064,34059,9.710176
67309,928,9.722165
18387,3779,9.760916
87654,3779,9.761931
52086,618,9.772601
41549,19184,9.782207
15503,11,9.785851
77687,928,9.790301
3250,13034,9.854762
294,11,9.878546
6108,882,9.893709
1785,1744,9.927084
75434,882,9.931494
14292,3250,9.935429
9737,86691,9.944641
24675,1744,9.956154
64571,891,9.975214
11024,3779,10.010720
3719,85303,10.039310
94808,11,10.066190
99790,928,10.081636
1457,11,10.081899
23959,17271,10.106142
98285,11,10.110366
86257,11,10.145328
59548,11,10.147897
20782,3779,10.165197
57023,19184,10.210495
97738,3719,10.221768
95061,11,10.241783
81702,14292,10.243388
56246,11,10.246340
44306,11,10.254387
10017,1457,10.276767
15529,952,10.304051
4773,294,10.312676
76367,11,10.339390
3751,3719,10.345422
88742,13034,10.349341
14029,11,10.362905
93,5371,10.378701
28120,25774,10.412775
55319,13896,10.418877
25791,2417,10.436052
57962,882,10.447955
51152,11,10.469168
97944,3779,10.477486
70372,952,10.506599
24975,4817,10.581163
36382,1457,10.588998
83098,57962,10.602529
11545,11,10.637624
45882,294,10.642951
48461,44306,10.672094
91626,56246,10.678257
13615,76367,10.680833
5,67309,10.685775
4711,952,10.700966
88837,5,10.702867
2177,952,10.709277
94272,93,10.711595
7378,5,10.729210
11071,5964,10.749926
48835,11,10.757840
36950,11,10.761268
5103,9844,10.771736
27805,6214,10.779549
30732,5,10.782372
41440,5,10.789690
51230,11,10.793334
761,11,10.799424
999,1457,10.805873
14136,294,10.807705
1635,5,10.812168
55554,5,10.825251
315,5,10.826391
55460,11,10.828232
3778,3719,10.829635
49192,93,10.844107
75142,5,10.847069
199,11,10.849211
38219,294,10.852735
47017,13615,10.856196
63201,10017,10.864178
62536,5,10.873009
90192,88742,10.877031
43654,5,10.877083
48485,14029,10.879882
36897,5,10.880703
22159,4817,10.884668
50249,999,10.891542
18045,294,10.896261
26897,618,10.916698
3712,315,10.929179
59197,11,10.929736
598,5,10.935712
4907,1744,10.942434
8200,5,10.946420
4703,25774,10.971086
16876,315,10.974460
41384,36950,10.975055
6082,11,10.986356
51789,64571,11.006186
16921,5,11.017327
89583,5,11.017537
79101,11,11.019299
13652,25791,11.020868
42175,5,11.026203
15829,5,11.031040
87357,5,11.038766
12995,5,11.039342
36708,5,11.041232
14711,3250,11.041371
8611,5,11.049277
99894,5,11.053422
62533,5,11.056036
99813,5,11.060652
68,13896,11.066230
34695,13896,11.070172
13930,3712,11.073258
6337,15763,11.079565
3772,882,11.083384
3823,11,11.108971
22651,294,11.112873
165,5,11.113854
24394,5,11.114755
55356,5,11.115882
50584,3719,11.118429
5670,3751,11.119398
2727,5,11.127411
80471,5,11.129436
593,5,11.138176
32309,199,11.142183
44074,11,11.142527
29540,294,11.144126
80811,2177,11.147677
148,5,11.162314
37519,199,11.168137
40943,5,11.169612
43992,87357,11.171317
32910,90192,11.173190
3307,148,11.189658
33065,5670,11.193060
20730,165,11.206010
91585,7378,11.208047
28814,24394,11.212653
40902,5,11.213255
31320,5,11.215608
94884,928,11.225837
36780,165,11.230904
50676,19184,11.233116
138,93,11.237214
44978,68,11.242710
94641,315,11.248457
20045,11,11.251971
63166,5,11.260048
13740,5,11.267659
3247,315,11.269420
57589,5,11.275390
1079,5,11.276236
69490,5,11.278664
76997,618,11.284298
62,999,11.284308
25004,3759,11.289629
22421,5,11.290666
32368,5670,11.292675
46313,5,11.297359
85384,93,11.299010
4068,5,11.301631
41833,315,11.311644
1477,891,11.315986
56230,28814,11.320162
48176,5,11.320575
21708,2727,11.321638
62019,138,11.323756
17201,24171,11.333776
83514,10941,11.339431
10496,3778,11.339602
6145,3719,11.342747
50,5,11.346465
15363,882,11.357147
63122,165,11.358303
61316,12995,11.369010
71478,11,11.370670
88415,5,11.389744
73507,294,11.394293
72792,62,11.394940
38923,50,11.398721
10532,5,11.406513
96242,6885,11.409542
89407,3823,11.410323
75406,24171,11.423880
1157,5,11.425469
8,62536,11.428239
72051,51152,11.428484
64358,5,11.431963
72679,5,11.439390
13850,5,11.440463
16298,50,11.440668
16962,618,11.441390
55058,20782,11.442193
7747,5103,11.442831
16914,761,11.447847
7656,51152,11.453614
18406,11,11.455457
27353,3823,11.456482
2227,80811,11.456706
89064,593,11.459585
37396,2227,11.464857
1443,11,11.466655
21652,13740,11.467710
56099,5,11.469261
2672,16298,11.472299
91386,148,11.474865
92683,11071,11.477695
17222,315,11.479681
195,62,11.480123
27966,44074,11.488628
42004,50,11.493420
57508,1079,11.493629
69814,36382,11.495384
28139,593,11.498678
36203,8611,11.504629
56235,593,11.505424
35062,5,11.515411
48039,15503,11.521493
6274,5,11.522955
17,5,11.539010
82423,9844,11.539113
26087,165,11.539230
20896,882,11.544028
18259,17,11.546507
28108,11,11.547220
3232,14136,11.553413
6318,3778,11.554116
39916,17,11.555645
37102,5103,11.558635
5577,7656,11.565019
2431,315,11.566578
52761,5,11.567497
362,8,11.568659
13070,5,11.571339
11948,8,11.583018
473,50,11.583296
85602,5,11.585566
7493,5,11.585917
12422,165,11.588493
6475,68,11.590785
25658,165,11.598419
45357,5,11.600064
3427,8,11.603591
45351,294,11.606755
27241,165,11.611393
83022,8,11.622748
41994,5,11.628366
22081,5,11.639277
58747,51230,11.643153
96483,50,11.645045
3722,5,11.646679
29078,93,11.647244
58929,928,11.653308
2797,315,11.658859
87157,882,11.661469
10782,5,11.662126
6792,8,11.663276
56915,9844,11.665240
17322,1157,11.667514
94665,50,11.667616
8214,1157,11.674004
33743,2177,11.679612
10863,8611,11.683033
24239,5103,11.693039
51642,25791,11.700273
68327,2797,11.700382
4540,5,11.700881
7688,165,11.701396
14864,7656,11.703579
975,5,11.708158
76146,165,11.710303
72520,5,11.711161
38701,761,11.712729
64062,17,11.716023
98184,57023,11.719490
264,165,11.728516
5067,1157,11.729366
53590,294,11.731989
74406,5067,11.733524
1090,41994,11.733803
72674,93,11.735492
12623,11,11.735965
28560,3778,11.740834
92326,5,11.741957
4422,62,11.742041
25124,2431,11.747524
85205,999,11.748994
25583,294,11.749341
11290,50,11.750820
17230,6337,11.751770
34883,17,11.754661
30028,62019,11.756568
74,85602,11.758808
89717,3779,11.759415
87737,5,11.759851
46990,3712,11.763277
22305,2797,11.766507
2162,6145,11.770484
35053,13615,11.773518
24155,5371,11.778848
3807,44306,11.780008
94552,74,11.780539
24768,17,11.781871
27633,50,11.784258
7598,891,11.785441
22353,1477,11.787504
1402,50,11.791365
59506,42004,11.791487
72408,5670,11.794054
80074,362,11.794718
47481,68,11.802430
3349,1079,11.803653
663,5,11.805605
8304,8,11.807059
84505,62,11.819501
46820,50,11.825013
26267,19184,11.826312
4,35053,11.832691
743,10875,11.839400
2495,11,11.842609
53614,17,11.843938
28737,24975,11.858092
78552,5,11.858538
14737,4,11.862208
98470,7598,11.864286
8687,1157,11.868569
20326,5,11.873049
55589,5067,11.873885
22,5,11.877112
48261,22,11.881405
19892,891,11.881993
21466,93,11.882134
7876,199,11.882747
48939,315,11.898268
6571,8,11.901070
56619,3778,11.901407
4745,165,11.902195
62953,63651,11.904258
34206,3823,11.907965
32708,17,11.908451
24705,473,11.923300
27533,5,11.924523
657,5,11.925363
79,19184,11.927224
36183,36203,11.930607
47957,2797,11.933936
87512,663,11.935031
18919,4,11.936121
20,8,11.936298
63490,11,11.936472
45802,8,11.938647
49929,22,11.940293
82976,1090,11.942018
1368,975,11.942250
31291,5,11.944432
26707,18406,11.947567
14973,315,11.956187
52893,4,11.958694
43924,4,11.958862
5048,743,11.963125
43578,6792,11.965337
6005,138,11.965930
64812,3772,11.967170
33543,4,11.971303
62983,5,11.972587
35196,743,11.975036
64137,138,11.975760
38018,4,11.976787
34376,7876,11.977741
11043,657,11.977904
36710,315,11.987126
