0.585435 0.200000 89652 0 1 99998 2 [],[99999]
10.076876 0.300000 47002 0 1 99997 3 [],[89652]
12.187213 0.800000 1923 0 1 99996 4 [],[47002]
12.223174 4.900000 14040 0 1 99995 5 [],[1923]
12.356161 4.900000 5357 0 1 99994 6 [],[1923]
12.515007 5.100000 5838 0 1 99993 7 [],[1923]
13.000643 5.600000 33587 0 1 99992 8 [],[1923]
13.208527 5.600000 26631 0 1 99991 9 [],[1923]
13.317570 5.800000 84485 0 1 99990 10 [],[47002]
13.335376 5.800000 550 0 1 99989 11 [],[1923]
13.352184 7.800000 41868 0 1 99988 12 [],[550]
13.367348 7.900000 76460 0 1 99987 13 [],[5838]
13.568375 8.000000 63861 0 1 99986 14 [],[550]
13.774415 8.100000 30552 0 1 99985 15 [],[26631]
13.780863 8.100000 25179 0 1 99984 16 [],[550]
13.906331 8.300000 9997 0 1 99983 17 [],[550]
13.961546 9.100000 31530 0 1 99982 18 [],[25179]
13.972983 9.300000 64633 0 1 99981 19 [],[550]
13.977737 9.300000 99854 0 1 99980 20 [],[5357]
14.050990 9.300000 30673 0 1 99979 21 [],[1923]
14.132476 9.500000 12882 0 1 99978 22 [],[84485]
14.306686 10.500000 97978 0 1 99977 23 [],[1923]
14.312012 10.500000 73643 0 1 99976 24 [],[31530]
14.537485 10.500000 5568 0 1 99975 25 [],[550]
14.585368 11.100000 59310 0 1 99974 26 [],[550]
14.854286 11.100000 10456 0 1 99973 27 [],[12882]
14.886702 12.900000 111 0 1 99972 28 [],[10456]
14.907413 16.600000 81972 0 1 99971 29 [],[9997]
14.928910 16.600000 14570 0 1 99970 30 [],[10456]
14.945471 16.800000 10402 0 1 99969 31 [],[97978]
14.988312 18.300000 299 0 1 99968 32 [],[1923]
14.990938 24.700000 23307 0 1 99967 33 [],[41868]
15.048326 24.900000 99974 0 1 99966 34 [],[299]
15.105184 24.900000 5199 0 1 99965 35 [],[1923]
15.128199 25.400000 40591 0 1 99964 36 [],[9997]
15.152517 25.500000 76 0 1 99963 37 [],[550]
15.152860 37.100000 57504 0 1 99962 38 [],[76]
15.177022 37.100000 35375 0 1 99961 39 [],[299]
15.205596 37.400000 615 0 1 99960 40 [],[111]
15.207587 40.600000 41513 0 1 99959 41 [],[99974]
15.236077 40.800000 75941 0 1 99958 42 [],[550]
15.271690 40.800000 14276 0 1 99957 43 [],[299]
15.273016 40.800000 5761 0 1 99956 44 [],[89652]
15.312095 41.800000 45573 0 1 99955 45 [],[1923]
15.317472 42.000000 12127 0 1 99954 46 [],[10402]
15.340316 42.300000 14158 0 1 99953 47 [],[1923]
15.341155 42.400000 20108 0 1 99952 48 [],[76]
15.351188 42.500000 43355 0 1 99951 49 [],[299]
15.365244 42.500000 49147 0 1 99950 50 [],[76]
15.377759 42.700000 97923 0 1 99949 51 [],[63861]
15.380517 42.700000 54437 0 1 99948 52 [],[615]
15.386292 43.100000 18719 0 1 99947 53 [],[20108]
15.408216 43.200000 10952 0 1 99946 54 [],[76]
15.409767 43.500000 15037 0 1 99945 55 [],[299]
15.451233 43.700000 50345 0 1 99944 56 [],[47002]
15.453652 43.700000 6911 0 1 99943 57 [],[35375]
15.466506 44.000000 24573 0 1 99942 58 [],[615]
15.488198 44.200000 99935 0 1 99941 59 [],[615]
15.510244 44.200000 94761 0 1 99940 60 [],[1923]
15.546610 44.200000 28481 0 1 99939 61 [],[550]
15.552805 44.700000 86507 0 1 99938 62 [],[28481]
15.573911 44.700000 85693 0 1 99937 63 [],[299]
15.611667 44.700000 567 0 1 99936 64 [],[12127]
15.617003 45.700000 54652 0 1 99935 65 [],[5761]
15.627319 45.700000 2884 0 1 99934 66 [],[26631]
15.629092 49.200000 138 0 1 99933 67 [],[41513]
15.636206 54.600000 9402 0 1 99932 68 [],[30673]
15.651924 55.900000 22179 0 1 99931 69 [],[9402]
15.686910 56.000000 45505 0 1 99930 70 [],[14570]
15.709600 56.000000 973 0 1 99929 71 [],[299]
15.794953 58.300000 6706 0 1 99928 72 [],[76]
15.795933 58.600000 9147 0 1 99927 73 [],[2884]
15.798292 59.400000 5843 0 1 99926 74 [],[138]
15.804846 60.600000 59418 0 1 99925 75 [],[550]
15.806064 60.700000 81095 0 1 99924 76 [],[25179]
15.824432 60.700000 57490 0 1 99923 77 [],[299]
15.826698 60.700000 68355 0 1 99922 78 [],[10456]
15.847659 60.800000 3704 0 1 99921 79 [],[76]
15.852161 61.200000 496 0 1 99920 80 [],[567,138]
15.852833 66.800000 47572 0 1 99919 81 [],[138]
15.858420 66.900000 57921 0 1 99918 82 [],[615]
15.897880 67.000000 6756 0 1 99917 83 [],[5761]
15.916173 67.600000 95834 0 1 99916 84 [],[76]
15.932688 67.600000 14788 0 1 99915 85 [],[138]
15.955187 68.300000 19220 0 1 99914 86 [],[76]
15.972924 68.400000 5318 0 1 99913 87 [],[496]
15.999574 69.200000 78026 0 1 99912 88 [],[10456]
16.005910 69.200000 74191 0 1 99911 89 [],[68355]
16.012758 69.200000 28151 0 1 99910 90 [],[111]
16.017908 69.300000 1075 0 1 99909 91 [],[299]
16.019945 71.400000 67329 0 1 99908 92 [],[1075]
16.022370 71.500000 83357 0 1 99907 93 [],[5568]
16.024106 71.500000 10502 0 1 99906 94 [],[43355]
16.025895 71.800000 62083 0 1 99905 95 [],[138]
16.084156 71.900000 5035 0 1 99904 96 [],[496]
16.084185 72.400000 74650 0 1 99903 97 [],[5761]
16.098120 72.400000 4387 0 1 99902 98 [],[2884]
16.104614 73.200000 7039 0 1 99901 99 [],[2884]
16.151776 73.300000 19509 0 1 99900 100 [],[1923]
16.174332 73.300000 82740 0 1 99899 101 [],[973]
16.185053 73.600000 29457 0 1 99898 102 [],[1075]
16.200864 73.900000 44653 0 1 99897 103 [],[973]
16.263667 73.900000 965 0 1 99896 104 [],[496]
16.283498 74.400000 62712 0 1 99895 105 [],[299]
16.287014 74.400000 11731 0 1 99894 106 [],[299]
16.288443 74.400000 82413 0 1 99893 107 [],[111]
16.288814 74.400000 5474 0 1 99892 108 [],[1075]
16.295667 74.800000 27015 0 1 99891 109 [],[76]
16.349785 74.800000 73845 0 1 99890 110 [],[14158]
16.352517 74.800000 2364 0 1 99889 111 [],[76]
16.361245 75.800000 3241 0 1 99888 112 [],[2884]
16.366828 76.900000 67004 0 1 99887 113 [],[76]
16.378248 76.900000 2416 0 1 99886 114 [],[496]
16.392149 79.000000 89462 0 1 99885 115 [],[10502]
16.401730 79.000000 23057 0 1 99884 116 [],[9147]
16.405024 79.200000 29627 0 1 99883 117 [],[615]
16.410479 79.800000 94221 0 1 99882 118 [],[9402]
16.423714 79.800000 24275 0 1 99881 119 [],[1923]
16.425237 80.000000 6261 0 1 99880 120 [],[76]
16.432014 80.400000 74313 0 1 99879 121 [],[138]
16.441508 80.400000 13999 0 1 99878 122 [],[2416]
16.459346 80.800000 2738 0 1 99877 123 [],[24275]
16.497412 81.600000 89163 0 1 99876 124 [],[2884]
16.499237 81.600000 52284 0 1 99875 125 [],[4387]
16.501535 81.600000 49899 0 1 99874 126 [],[299]
16.511916 81.600000 94891 0 1 99873 127 [],[10402]
16.522138 81.600000 25526 0 1 99872 128 [],[299]
16.532266 81.900000 3807 0 1 99871 129 [],[76]
16.539431 82.600000 17760 0 1 99870 130 [],[299]
16.559872 82.700000 3112 0 1 99869 131 [],[3241]
16.561998 83.100000 12259 0 1 99868 132 [],[76]
16.563166 83.200000 31609 0 1 99867 133 [],[1923]
16.567690 83.300000 17959 0 1 99866 134 [],[496]
16.567855 83.500000 13202 0 1 99865 135 [],[299]
16.576735 84.500000 17072 0 1 99864 136 [],[9402]
16.577022 84.500000 5950 0 1 99863 137 [],[45573]
16.590666 85.400000 2910 0 1 99862 138 [],[17760]
16.597361 86.600000 78495 0 1 99861 139 [],[10456]
16.608736 86.600000 50540 0 1 99860 140 [],[4387]
16.609550 86.700000 23001 0 1 99859 141 [],[13999]
16.619612 86.800000 60827 0 1 99858 142 [],[45573]
16.650121 86.900000 2209 0 1 99857 143 [],[95834]
16.689033 87.800000 69449 0 1 99856 144 [],[13202]
16.692303 87.800000 91541 0 1 99855 145 [],[76,615]
16.703744 87.600000 6198 0 1 99854 146 [],[17959]
16.706154 88.100000 70479 0 1 99853 147 [],[299]
16.707369 88.100000 22637 0 1 99852 148 [],[299]
16.708253 88.300000 44751 0 1 99851 149 [],[299]
16.737381 88.400000 24083 0 1 99850 150 [],[138]
16.784016 88.600000 92955 0 1 99849 151 [],[138]
16.790348 88.600000 1654 0 1 99848 152 [],[6261]
16.794174 89.400000 92887 0 1 99847 153 [],[5761]
16.800705 89.400000 29924 0 1 99846 154 [],[13202]
