IDPOP,TIME_SEQ,SEQ_COUNT
99999,7.389003,1
20326,27.630892,1
12588,19.201919,1
18270,13.495381,1
2030,24.139249,1
21375,12.871428,1
64266,26.614624,1
35060,34.257050,1
84103,23.281254,1
89108,33.534267,1
1936,18.468472,1
51647,18.119288,1
65444,24.701154,1
40884,30.060289,1
14710,23.632690,1
44701,18.402446,1
344,19.035584,1
2903,29.692396,1
217,27.260230,1
9883,21.197986,1
1842,27.477822,1
62988,29.592526,1
41455,28.942155,1
12650,27.271468,1
87932,26.772696,1
51919,31.508258,1
59935,30.384291,1
36669,21.842895,1
1447,23.259817,1
30301,30.204101,1
28476,31.909828,1
26850,33.498024,1
72117,32.276812,1
82970,26.358060,1
14,17.259350,1
25389,31.193909,1
355,34.682979,1
66368,29.308698,1
29039,19.860958,1
12516,19.999808,1
96188,33.759959,1
29397,28.958973,1
4933,28.053668,1
451,21.014512,1
4309,26.675827,1
50990,30.286854,1
23521,33.378695,1
10807,25.515395,1
39339,28.439964,1
4304,32.841537,1
699,18.311229,1
1527,24.852161,1
20165,21.417917,1
6703,22.767537,1
75247,24.009086,1
72724,31.923236,1
42101,31.191534,1
5861,30.478446,1
16369,30.096442,1
30064,31.011058,1
7630,30.376255,1
90155,33.752083,1
82710,35.372332,1
53403,34.007793,1
10,24.644859,1
76557,28.069956,1
7175,23.881046,1
92844,32.868858,1
7353,32.102046,1
18107,29.811562,1
96349,22.963667,1
31492,32.666183,1
27921,29.787889,1
4525,27.426310,1
54271,17.822723,1
40202,28.115211,1
13959,28.244952,1
6611,29.033066,1
3695,35.327974,1
31998,32.728378,1
20397,26.900702,1
25846,35.368433,1
14604,18.245217,1
2686,25.966990,1
63055,21.172191,1
4473,35.365267,1
20861,29.325874,1
87902,20.585290,1
12518,18.563565,1
267,21.831371,1
57605,35.089347,1
20637,31.272411,1
57241,26.209211,1
93581,33.696843,1
277,28.798523,1
54223,29.286665,1
77114,17.299178,1
5098,31.820900,1
62080,23.494436,1
37659,18.952510,1
88578,26.142492,1
99035,20.000884,1
10929,23.202596,1
74647,23.160231,1
3449,31.156890,1
6105,27.919347,1
4830,19.664560,1
66390,26.716452,1
3071,26.073876,1
31631,22.654233,1
3014,27.501284,1
16411,26.832324,1
61188,19.898029,1
3141,32.225703,1
43,22.434667,1
4696,26.121430,1
11545,31.979798,1
45590,20.810570,1
15487,29.454983,1
63062,32.834431,1
36367,26.002159,1
89013,22.300482,1
7298,21.886278,1
53182,25.394280,1
10172,30.470155,1
74800,30.328322,1
38622,21.662141,1
53740,34.023421,1
39446,35.442010,1
12288,35.023302,1
93422,29.881973,1
3565,34.048742,1
334,29.961870,1
79447,30.395571,1
33697,34.390395,1
21433,29.177434,1
96273,28.429247,1
88461,21.725605,1
7213,20.727681,1
9767,31.614857,1
46826,20.754990,1
20195,19.315784,1
43240,30.872655,1
23099,18.652242,1
20314,29.225218,1
93333,24.817061,1
17829,20.576681,1
48046,19.121422,1
1736,17.529468,1
74601,21.241397,1
92134,30.536642,1
52813,31.498925,1
40969,30.827035,1
30850,26.013753,1
82634,28.314269,1
27987,33.689497,1
76702,30.631051,1
1901,25.892846,1
20783,25.524589,1
6567,30.740106,1
2142,27.737869,1
51901,18.122837,1
92801,24.068646,1
5577,23.077465,1
10817,23.392559,1
47538,26.609155,1
588,22.166157,1
66813,34.822794,1
9048,18.614463,1
52619,25.777406,1
78464,28.502203,1
89597,25.134172,1
14925,27.421541,1
39118,25.042814,1
16433,32.146279,1
479,20.654788,1
91070,29.853792,1
85120,33.916808,1
47035,33.627117,1
98710,18.447155,1
136,29.573027,1
88472,21.950943,1
58807,25.292762,1
1789,28.774171,1
34004,21.259433,1
20411,24.620607,1
21366,26.411354,1
52647,32.333031,1
18581,24.553896,1
59074,22.844993,1
69367,34.735266,1
70126,32.566070,1
80955,31.378475,1
4205,21.607759,1
60111,26.164133,1
53202,21.830438,1
84802,26.253258,1
21265,18.413659,1
54097,29.446729,1
14516,33.157828,1
