IDPOP,TIME_SEQ,SEQ_COUNT
99999,51.156715,1
27034,17.966820,1
19293,41.259876,1
88447,42.910347,1
13192,23.461277,1
590,45.188481,1
2317,41.010224,1
65591,53.981764,1
4086,27.172917,1
2271,41.332620,1
4674,26.329404,1
91301,31.790413,1
18383,54.240039,1
74493,30.352204,1
6525,17.846666,1
59503,50.705824,1
508,40.121231,1
39471,39.167222,1
51973,23.155042,1
16494,27.691577,1
29369,27.131657,1
67093,34.232429,1
24979,39.714123,1
28659,31.127266,1
49309,35.210279,1
1391,32.986315,1
43112,51.179056,1
74459,20.264451,1
34868,34.041505,1
27755,40.238090,1
17839,44.415169,1
62318,50.467123,1
6208,37.473101,1
48202,57.995288,1
42935,53.182954,1
10446,42.662177,1
48140,54.505703,1
1397,57.506681,1
53165,46.326934,1
4280,17.554553,1
46275,17.854441,1
381,42.883407,1
48053,41.954785,1
1491,27.230949,1
35326,19.906519,1
76434,25.917771,1
84767,32.033301,1
3686,37.443942,1
715,55.380856,1
95,51.438207,1
46950,23.840873,1
41757,36.882440,1
15585,59.128597,1
83245,46.015606,1
13072,43.044596,1
8093,28.769235,1
27273,25.533621,1
8624,37.419236,1
46555,45.503369,1
31847,26.545204,1
82531,58.565494,1
62127,51.902723,1
29634,45.853273,1
56658,41.208341,1
9487,46.183104,1
54041,42.676783,1
7132,19.601592,1
39159,49.391992,1
97708,56.327443,1
7054,38.227427,1
86996,22.835580,1
6248,58.714836,1
18608,36.809458,1
92108,48.427323,1
67231,33.561651,1
2446,20.267291,1
37103,44.967571,1
34430,57.163608,1
96014,27.546540,1
1029,22.241296,1
45887,55.346048,1
71589,20.731437,1
7885,34.074703,1
68001,41.556801,1
79618,50.572237,1
24289,49.333534,1
6814,43.505303,1
34131,35.492649,1
11887,34.895360,1
5824,45.164267,1
8365,45.786899,1
2486,57.147747,1
24633,25.035824,1
17146,44.951370,1
2520,19.417205,1
7050,23.453682,1
71478,22.540391,1
22098,28.813246,1
4947,39.442372,1
26469,53.774113,1
14499,47.283485,1
28773,27.472622,1
62491,52.483148,1
79130,25.837944,1
12683,37.047708,1
54132,28.304361,1
94865,40.008688,1
1065,50.205471,1
90882,48.634997,1
52661,22.449675,1
27627,34.197599,1
5793,37.053205,1
54567,45.591791,1
50234,23.554429,1
74785,38.145934,1
43254,32.120863,1
47048,23.100021,1
57173,39.166529,1
3474,53.743325,1
60339,56.173521,1
27608,24.449652,1
6415,56.883306,1
8533,29.690913,1
93515,41.389545,1
3085,22.331425,1
59334,46.930242,1
15858,23.772681,1
6147,37.423825,1
12127,56.755820,1
21679,58.925549,1
32923,41.175222,1
35877,33.330993,1
64145,48.457957,1
1177,56.846573,1
91826,37.283779,1
16138,34.650997,1
47413,35.410898,1
33072,42.890796,1
1452,33.230316,1
4,53.446474,1
64067,30.511357,1
3137,47.803170,1
31750,36.940823,1
49257,21.964373,1
72259,45.318266,1
7043,25.379960,1
50367,51.750609,1
2228,42.715258,1
4166,50.599547,1
9746,53.330759,1
0,29.976474,1
30706,49.068180,1
9640,54.673794,1
66342,39.585209,1
20506,28.679800,1
3272,26.971215,1
267,46.695658,1
11760,30.361054,1
13321,38.717978,1
83287,53.769570,1
5968,41.834937,1
4915,42.117399,1
30941,51.487512,1
680,35.694876,1
6949,24.691716,1
10825,26.142041,1
84265,35.294372,1
33914,36.310613,1
2,57.893133,1
35698,21.812440,1
10464,47.340910,1
28173,46.744273,1
69002,57.200503,1
15062,22.294344,1
51106,53.424673,1
1223,37.036199,1
8035,38.579822,1
16273,31.314395,1
42765,51.251841,1
70764,23.849015,1
85976,58.435144,1
1106,49.397314,1
4632,32.070955,1
21397,58.895176,1
2019,35.591440,1
14348,47.347389,1
23254,56.650078,1
7408,25.200108,1
318,28.072253,1
828,34.887989,1
33977,56.463196,1
23912,25.222815,1
31660,51.484101,1
94576,30.677800,1
2838,29.682833,1
4232,57.808414,1
66924,36.661103,1
31445,31.056987,1
66584,46.796749,1
78576,31.793807,1
72921,34.535431,1
67809,41.680620,1
90401,34.793579,1
75771,54.852197,1
9373,43.658979,1
489,29.907249,1
11311,54.485658,1
25700,21.590910,1
65561,48.865358,1
8017,31.807575,1
929,40.887493,1
9547,49.311182,1
67064,35.209519,1
90095,50.081329,1
23977,43.407091,1
63262,25.646590,1
34,25.161191,1
89762,55.520664,1
6015,43.251121,1
552,40.388684,1
41735,46.008337,1
60132,44.431484,1
17663,38.785917,1
8654,20.714850,1
68772,48.388858,1
67696,23.852802,1
15640,46.007310,1
14170,45.788894,1
47491,33.410702,1
501,59.112839,1
53207,43.741177,1
72269,22.005449,1
58657,44.784118,1
91467,34.126679,1
2450,51.528489,1
15597,58.962223,1
5819,49.016283,1
868,27.119613,1
42966,48.114595,1
23802,52.993895,1
8765,33.390470,1
33653,20.763510,1
22633,43.700677,1
206,43.986006,1
92003,28.528245,1
26021,26.266579,1
52691,50.409869,1
13646,53.287529,1
24133,52.250745,1
2095,46.270501,1
18759,58.362918,1
57404,54.988877,1
67887,35.267892,1
1604,39.059799,1
57804,29.561449,1
28340,50.797924,1
30369,42.390976,1
17487,38.967525,1
1904,42.559498,1
66755,28.011987,1
43623,57.376301,1
59349,41.935527,1
43850,33.413645,1
85218,49.920866,1
47842,41.919936,1
61444,26.982529,1
13186,39.524902,1
47849,36.498519,1
723,28.615375,1
28271,22.087644,1
81422,52.584362,1
72957,56.311670,1
