IDREC,IDTR,TIME_TR
99999,NA,0
73092,99999,0.344583
26512,73092,4.756660
26866,26512,17.475899
30032,26866,17.870352
3555,30032,18.046623
34549,26866,19.090308
48,26512,20.084516
8211,48,20.142567
14488,48,20.170063
83719,48,20.214903
1241,48,20.223448
66720,48,20.313891
88570,48,20.337577
76490,48,20.387996
10582,1241,20.391546
66477,14488,20.492487
26089,48,20.497294
54228,8211,20.522945
28255,48,20.586462
41062,48,20.727673
2973,14488,20.753950
97202,48,20.839085
71554,48,20.867144
9363,2973,20.877208
2413,48,20.923454
1125,48,20.940888
94294,48,20.951136
53315,3555,20.958736
42593,48,20.961141
7295,48,20.965577
35903,8211,20.974012
1021,48,20.974525
78886,2973,20.989972
1737,48,21.019427
82483,2413,21.020141
46565,48,21.052629
60384,48,21.061080
59291,48,21.083089
73173,48,21.138772
29344,2973,21.152129
1957,29344,21.234495
34325,48,21.258359
17300,97202,21.273616
47006,1021,21.294828
47599,48,21.348260
57840,53315,21.366954
88367,1957,21.387798
14108,48,21.401492
13575,48,21.424908
824,1241,21.511659
14038,3555,21.618610
61427,13575,21.663548
89155,48,21.670917
29732,1125,21.844332
34298,48,21.866326
306,48,21.896916
33980,78886,21.931768
923,48,21.933773
8429,48,21.941688
22737,48,22.017202
22912,1737,22.029257
10804,48,22.082175
24259,8429,22.090229
64627,9363,22.108485
8917,48,22.109213
5117,1021,22.132779
195,306,22.144838
7473,195,22.155149
356,48,22.162520
21179,48,22.190528
2022,1125,22.217409
6743,48,22.220969
67263,1957,22.224422
1043,9363,22.248006
54915,1043,22.250581
13731,22912,22.258960
13757,10582,22.265301
60328,195,22.278612
9599,1021,22.280349
77455,306,22.286816
2884,48,22.290281
27055,824,22.294869
78443,195,22.299485
25208,88570,22.317051
32493,2022,22.332087
15570,2973,22.332635
39246,48,22.364532
19756,195,22.372289
76133,1957,22.400705
11246,1957,22.415437
61434,824,22.426916
29209,14108,22.427242
25643,8429,22.447547
92540,34549,22.450391
17486,2413,22.458664
9376,73092,22.474359
9486,48,22.492330
6116,25208,22.523517
71950,6116,22.542719
255,48,22.559308
47598,48,22.625547
73785,195,22.642589
42194,255,22.649749
88826,48,22.652240
52351,306,22.658080
21091,255,22.662052
76722,195,22.683301
41943,2973,22.721770
36365,1021,22.769649
674,195,22.784215
367,48,22.785638
69704,5117,22.790777
93253,1021,22.821353
44409,36365,22.827238
53122,44409,22.828442
352,8917,22.875490
97390,7295,22.892693
10568,1043,22.900476
84604,88826,22.905110
71,195,22.913221
7278,71,22.931744
18795,71,22.931869
44811,59291,22.935725
38340,48,22.947684
90064,48,22.949773
20509,1021,22.965741
58467,48,22.969118
12487,195,22.975457
4520,71,22.978933
59207,53122,23.007256
3244,71,23.022433
13123,1043,23.022932
24180,11246,23.027615
17387,48,23.043727
31434,1021,23.049689
2,923,23.055124
93799,255,23.057838
9072,352,23.058778
13370,2,23.089314
81596,2,23.094539
46386,57840,23.095461
61677,48,23.101349
54101,352,23.104015
11487,9363,23.109438
44085,13757,23.110456
13085,48,23.116516
19805,2,23.138274
10398,2,23.149013
64456,71,23.149210
8,17486,23.152977
52584,48,23.155103
73838,2,23.164927
75622,8,23.164973
18687,1957,23.165669
38686,8,23.170496
13599,2,23.170815
29268,71,23.189659
95406,2,23.190333
18482,2,23.196457
3993,195,23.202228
42443,367,23.202791
44456,48,23.206194
3772,8,23.207409
45403,1957,23.220329
2551,2,23.235195
32651,48,23.241362
18905,2,23.243511
22299,674,23.249954
12942,2,23.258260
50796,18687,23.258860
265,2,23.262732
60450,195,23.277545
19831,2,23.278353
47364,2,23.282446
323,2,23.284128
5368,8,23.298652
17273,13599,23.314465
47918,2973,23.322649
29042,3772,23.326103
10824,7278,23.330168
54463,2,23.331639
54537,8,23.335516
83330,71,23.345696
35008,2,23.346337
70417,8,23.356227
28829,8,23.360031
17170,8,23.361950
8584,8,23.373075
4086,10568,23.375522
5762,76490,23.390521
3382,8,23.390527
77632,9376,23.413358
12939,8,23.420760
94163,8,23.431204
9353,195,23.432540
69664,28829,23.433862
26677,265,23.444737
44,2,23.447457
35012,265,23.455464
7213,8,23.457725
12598,71,23.460162
37072,48,23.460190
32726,8,23.474887
3406,8,23.475191
79625,8584,23.475285
7569,2973,23.480125
28800,3772,23.481749
7633,1021,23.482085
6811,8,23.483484
21934,48,23.484693
61445,44,23.489521
6757,48,23.492076
23503,352,23.492711
90,8,23.499365
1914,48,23.500697
9369,44,23.503513
13114,10398,23.507735
11352,52584,23.508220
34460,265,23.511926
70729,2,23.519416
11907,352,23.522095
77208,18905,23.522845
13681,352,23.523379
23872,29268,23.524491
47385,195,23.531898
31405,6811,23.543147
31740,1914,23.550917
68803,352,23.557856
65016,8,23.561654
6122,99999,23.561673
25147,2,23.563920
27655,8,23.565243
6,2,23.565851
80337,48,23.569949
14095,71,23.575550
48571,2,23.580455
39201,8,23.583501
72355,352,23.587156
9997,2,23.591523
78005,6,23.591924
40812,352,23.609002
5008,1125,23.610981
1200,17300,23.611581
1,6,23.613525
35856,352,23.624626
56751,8,23.624838
717,2,23.632897
43357,195,23.636389
1578,48,23.639558
81617,3993,23.641955
58456,6,23.644872
92315,77455,23.647841
1697,35012,23.648435
19709,1,23.651348
95502,44,23.655055
46519,824,23.657883
398,8,23.659663
22208,6,23.659707
1288,6,23.662857
82812,2,23.664140
20705,90,23.668429
75162,1,23.671467
81068,8,23.672345
58085,1,23.673847
25933,71,23.678771
1991,1,23.680235
45426,1,23.692085
99900,195,23.696834
10116,48,23.697665
35,8,23.701263
28379,25208,23.701267
10956,8,23.701275
57979,5762,23.708479
19616,717,23.710164
44769,6,23.712240
1879,2,23.712260
1796,48,23.712466
54590,2,23.714932
6668,6,23.715257
41832,6811,23.715362
33664,10568,23.720556
59,19756,23.722136
49619,6,23.723888
3623,5117,23.727576
7843,28379,23.740932
3413,2,23.741707
17338,61445,23.747871
21945,1,23.748825
3130,195,23.753760
1159,2,23.761168
24648,17338,23.762360
40979,90,23.765841
20545,1,23.766839
6986,2973,23.767488
89153,6757,23.769069
61312,13575,23.774529
89824,195,23.776146
39985,1,23.776384
54982,17338,23.779199
8189,2,23.779816
48686,1,23.786736
88090,2,23.789537
15304,48,23.790810
4914,2,23.791378
60020,6,23.792431
14118,10568,23.794042
88176,6,23.798577
27192,46565,23.803604
59769,1,23.807038
78689,14488,23.807605
29891,48,23.807624
24365,41832,23.810895
24802,6,23.810960
24654,1,23.811341
393,1,23.813071
11064,6,23.814769
