IDPOP,TIME_SEQ,SEQ_COUNT
99999,16.017808,1
170,6.546976,1
7789,5.771759,1
20911,23.727017,1
48291,10.104547,1
7658,6.294186,1
68810,14.854235,1
6085,8.254515,1
12083,30.506239,1
3655,11.253699,1
53749,32.228510,1
38067,9.158902,1
5732,12.608125,1
6046,28.309164,1
29712,32.749098,1
54487,27.248383,1
13275,14.041395,1
4,13.398627,1
16086,30.921471,1
39008,25.895083,1
54170,16.891933,1
68147,32.079590,1
2520,15.396210,1
8001,9.003948,1
11830,27.081598,1
85,27.630115,1
18970,10.067483,1
5417,22.019923,1
68569,26.093468,1
46380,19.560565,1
94207,23.951622,1
11637,29.934178,1
9626,24.375505,1
46498,20.490983,1
30812,25.385903,1
21425,34.538269,1
6291,10.872103,1
3115,17.676074,1
30603,11.606938,1
84550,8.926833,1
1826,9.543575,1
16455,30.647100,1
8432,30.858362,1
45092,15.807037,1
5464,33.771318,1
17889,19.971105,1
9125,27.937991,1
6203,32.371256,1
72354,31.492416,1
63249,9.463074,1
5243,15.650188,1
31695,25.977250,1
1116,35.988183,1
96373,28.579399,1
17909,13.570340,1
8931,26.166052,1
58894,32.106085,1
67329,34.089189,1
6292,31.489683,1
76881,26.235590,1
60063,28.243878,1
20998,10.060567,1
31942,33.908534,1
64890,18.889083,1
75866,21.242283,1
67176,14.324989,1
23091,36.019285,1
42315,11.518505,1
2595,20.327589,1
61945,33.211621,1
360,17.864725,1
14406,29.112126,1
1151,11.477648,1
19513,17.006471,1
14861,9.570482,1
2884,35.655747,1
22822,35.759126,1
1360,18.842070,1
26676,34.582458,1
83228,28.804562,1
0,19.472886,1
9648,19.775466,1
89102,34.274658,1
57513,23.665435,1
1930,10.843111,1
2548,31.867574,1
8709,31.048801,1
17598,24.628690,1
294,11.186715,1
1497,13.447353,1
8534,23.656374,1
38701,13.423758,1
85363,12.739410,1
92268,24.988438,1
19908,27.729159,1
41,15.884049,1
4763,27.262774,1
1178,24.141722,1
18593,31.264785,1
95826,31.443716,1
3436,11.236562,1
1055,32.763758,1
33588,31.501013,1
12211,30.926331,1
2277,34.469158,1
60,26.961708,1
60951,8.858256,1
43049,23.121245,1
83622,16.905969,1
