IDREC,IDTR,TIME_TR
99999,NA,0
81613,99999,0.344583
11017,81613,4.756660
78600,11017,5.151113
22,11017,6.371069
1541,22,6.422109
20348,22,6.429120
31226,22,6.456616
9315,22,6.510001
38456,9315,6.640389
39,1541,6.651484
70578,31226,6.760096
55971,9315,6.763063
50969,22,6.783847
22034,39,6.819582
53169,22,6.873016
1405,22034,6.942839
11894,39,6.973909
79981,22,7.014227
7018,39,7.031862
45066,1405,7.178861
13145,22,7.210007
71477,20348,7.211749
9244,22,7.227441
13519,39,7.235372
85351,22,7.247695
18938,22,7.252131
8631,22,7.261078
11781,22,7.305980
88275,22,7.339182
1520,1405,7.341018
4,22,7.347634
99143,22,7.369642
75263,39,7.389080
311,39,7.406054
25503,22034,7.428012
7573,4,7.429999
19255,39,7.447511
36179,4,7.457861
5823,39,7.482930
26236,4,7.500937
95632,38456,7.507009
73613,22,7.544913
68313,311,7.554594
69604,4,7.586274
6736,311,7.633112
89148,22,7.634813
14306,311,7.653975
65520,39,7.665881
65,4,7.667937
6499,4,7.670313
31171,22,7.688045
15036,39,7.701814
30767,22,7.711461
4679,4,7.725306
13384,311,7.795953
10758,65,7.801711
20938,65,7.822584
56276,14306,7.881426
72863,311,7.911912
47276,39,7.939695
74924,39,8.087738
84203,9315,8.096403
78785,4,8.130844
72190,22,8.152879
12606,65,8.165688
11196,311,8.167217
4910,12606,8.168264
3578,22,8.183470
42878,4,8.204215
15553,65,8.206400
7302,22,8.220326
20389,22,8.228241
79648,65,8.239916
72252,5823,8.249207
86084,4,8.262891
12292,7018,8.263140
90770,3578,8.278052
95485,4,8.280608
520,4,8.289430
44986,22,8.303755
24346,4,8.337561
1591,4,8.357464
27648,22,8.368728
55434,4,8.373384
23530,22,8.395766
97295,7018,8.402661
50550,23530,8.414968
31147,65,8.436320
3629,22,8.449073
9660,53169,8.451700
28863,4,8.465813
38510,22,8.477081
8994,1520,8.499273
16094,22,8.507523
25461,4,8.513844
78889,39,8.525239
56288,311,8.527404
11958,4,8.528576
7179,3629,8.539515
83986,8994,8.556862
13670,22,8.576834
382,4,8.597622
46281,68313,8.611985
61967,39,8.630958
39389,1520,8.646842
78344,22,8.651085
345,9660,8.704570
3206,45066,8.714072
56544,5823,8.758916
24119,22,8.778883
41869,78785,8.783313
593,4,8.785459
6839,46281,8.795273
10937,65,8.800644
30012,10937,8.819167
35064,27648,8.820999
3566,22,8.845861
86948,6839,8.860985
8582,4,8.883458
728,520,8.901608
31023,6839,8.904486
4712,1405,8.910658
88970,22,8.912100
90025,6736,8.920814
2107,72190,8.927806
23943,3206,8.942596
31856,7179,8.956667
62969,27648,8.984363
8986,31856,8.992341
4940,3578,9.028625
5853,65,9.054997
5489,4,9.065505
4163,22,9.072191
1098,22,9.075061
44590,4,9.076140
74707,9315,9.077726
39508,18938,9.092552
97582,95632,9.101806
3352,65,9.159489
1719,728,9.178046
6814,8631,9.188194
148,4,9.194462
6167,4,9.200269
29817,65,9.219933
76754,22,9.234237
59747,79981,9.246457
5168,29817,9.254123
97856,22,9.255671
9613,593,9.260505
13745,4,9.278808
35058,1098,9.282669
123,22,9.283182
71303,148,9.288352
65045,1591,9.296463
25702,65,9.299245
39697,1098,9.304065
25189,345,9.321790
24731,2107,9.326229
36919,22,9.330280
58990,1520,9.332234
18669,4,9.333468
68875,11017,9.336044
53708,10758,9.338801
47500,71477,9.341348
467,9613,9.343656
46334,14306,9.367017
5605,9315,9.375258
792,3206,9.396437
29498,22,9.403070
34358,65045,9.406266
69108,5605,9.408950
62756,1520,9.416182
922,3206,9.425737
38697,7179,9.429943
427,65,9.431154
99677,345,9.438081
69897,1541,9.438943
96040,22,9.441656
551,2107,9.461216
1339,1098,9.467394
41814,4,9.468073
32170,467,9.478866
2447,427,9.485587
86641,22,9.492747
85421,4,9.493857
12215,3566,9.508190
19475,123,9.510504
21464,1405,9.511538
68550,22,9.527916
672,3578,9.544495
96480,22034,9.545757
37368,4,9.552142
80526,672,9.556491
33387,123,9.559697
7267,123,9.574395
13291,427,9.576830
76086,4163,9.582919
97724,7302,9.604543
2874,593,9.605539
22448,1591,9.608615
751,13519,9.616841
47660,345,9.630876
1117,8582,9.649008
86431,1098,9.652834
4066,4,9.653699
74844,39,9.654010
68881,1339,9.676367
2033,593,9.679025
34536,4,9.685599
42599,31856,9.693641
67230,4,9.697254
28745,22448,9.701806
34195,5823,9.721763
10621,672,9.727035
57749,148,9.730862
1230,22,9.731152
10432,1339,9.735177
34599,751,9.735535
295,427,9.735903
74362,22,9.746743
79164,123,9.747474
54071,672,9.747746
76480,427,9.761662
23791,29498,9.761791
1014,5853,9.770895
41706,22,9.771246
4035,922,9.772125
34750,123,9.773767
17612,22,9.778629
673,123,9.791978
73,1117,9.796032
36035,39508,9.798597
66900,73,9.802167
21200,123,9.808513
1569,295,9.809734
1603,593,9.811453
1785,12215,9.830101
12619,9660,9.830506
88331,22034,9.833119
9800,311,9.834466
42598,1719,9.835182
9964,73,9.838096
12762,295,9.838113
11690,673,9.848035
16481,1520,9.848579
13248,1591,9.855889
13288,1603,9.871117
20183,10432,9.879700
291,148,9.881046
34449,751,9.891181
2089,9244,9.897534
97,2447,9.897853
73241,4066,9.902893
84302,5823,9.915999
36875,148,9.919155
17980,5853,9.920023
11170,22,9.926111
12984,148,9.930717
9632,291,9.931265
19998,922,9.932424
41845,1591,9.932994
8415,6839,9.934020
1192,751,9.951673
39841,672,9.953173
49827,2874,9.958656
3684,75263,9.965587
78072,65,9.966548
91588,1591,9.970986
5626,311,9.974205
19465,65,9.974547
27901,8994,9.974653
24798,22,9.984218
52082,73,9.989003
27388,97,9.994860
11771,65,9.998333
12074,22,9.999019
40332,73,10.003630
2513,1339,10.015692
14457,672,10.016357
9708,8994,10.021187
27410,1785,10.023336
25371,40332,10.029703
62471,751,10.030977
517,751,10.033075
73857,7179,10.036227
6028,24346,10.037847
25578,1603,10.043331
59776,97,10.047260
423,295,10.051203
92902,19465,10.053568
6998,751,10.056568
131,68875,10.070458
36524,22,10.077363
10509,1014,10.084160
56303,311,10.086434
9559,1785,10.088451
60826,22,10.094177
50229,1591,10.095201
4288,4,10.098609
149,12762,10.104589
15598,1785,10.107094
54548,3684,10.111976
12953,1591,10.121615
4646,97,10.128735
330,35058,10.133464
23659,131,10.137168
43372,148,10.139015
33762,12292,10.146695
67271,97,10.146772
77302,65,10.166322
17359,3566,10.176105
82799,673,10.179401
66322,123,10.181340
70038,23530,10.182828
60026,517,10.186005
1982,97,10.186666
77708,922,10.191131
51217,593,10.192707
18647,6028,10.193579
13185,73,10.196929
85352,1339,10.200584
59,4940,10.204094
65408,291,10.210334
49154,97,10.210348
2,345,10.211533
14515,467,10.212116
9469,22,10.212969
43624,5823,10.215634
73325,70038,10.220651
13202,672,10.224963
4064,148,10.226649
18889,97,10.228034
3147,13248,10.232465
12375,22,10.232824
7206,7179,10.240066
1682,96480,10.242128
96024,65,10.245591
25156,922,10.247755
334,4,10.250453
60294,2,10.251198
18197,15553,10.251692
3199,792,10.254006
9583,1117,10.258009
24086,728,10.258519
84198,10432,10.261769
35219,25371,10.262430
450,334,10.264942
79301,73613,10.265774
3493,2,10.269475
12158,4163,10.271234
990,2,10.271855
4151,311,10.279589
15783,1569,10.280954
608,334,10.281781
76463,59,10.282655
41923,6839,10.283460
19858,427,10.287493
11819,2,10.288800
11978,39,10.289027
19768,10432,10.292238
71241,1098,10.299055
78853,2,10.307066
39741,672,10.309049
28855,922,10.310146
24162,2,10.311045
1974,751,10.317036
45675,6167,10.318929
50,1569,10.320075
18080,1982,10.321965
55209,73,10.322538
5888,2107,10.331400
10487,123,10.333161
27382,47660,10.333277
5479,1339,10.337896
748,1014,10.338680
30873,2,10.340644
76887,2,10.340820
11846,61967,10.340868
45972,1230,10.344249
3291,123,10.349418
14561,3199,10.349872
36930,2,10.351338
58146,5605,10.352496
85724,6499,10.354685
54243,65,10.354737
98877,751,10.359474
4851,97,10.363367
17211,131,10.364368
13125,11170,10.364700
91862,2874,10.365866
39163,59,10.366953
92437,2,10.367932
74030,2,10.368765
59589,45066,10.371440
25301,3493,10.371748
86878,123,10.376033
20107,2033,10.379797
18,2,10.384744
19274,97,10.384780
