IDREC,IDTR,TIME_TR
2402,21,21.590216
54946,4636,21.592767
65231,58259,21.596045
74637,2539,21.598641
7505,21,21.602624
45519,92617,21.608287
82949,5,21.612104
76155,288,21.612537
15054,0,21.613669
1082,1222,21.616842
7617,256,21.627378
15640,5,21.628039
16203,0,21.630209
42650,0,21.633077
46444,53,21.636072
50229,120,21.637047
53382,1218,21.638699
2144,0,21.648832
68096,51,21.653337
24946,3924,21.654439
11248,186,21.655750
16102,0,21.656095
476,0,21.660257
412,0,21.660390
72951,0,21.663144
2452,5,21.666684
21185,5,21.667001
16353,5,21.668361
80951,85500,21.668395
3970,5,21.668994
75646,11842,21.669252
88770,5191,21.671748
5622,0,21.671782
54117,21,21.687192
64811,0,21.693620
26079,40513,21.696186
62923,1115,21.698336
78874,680,21.701015
4456,21,21.701794
1603,288,21.702574
20250,2452,21.708208
62756,3118,21.710190
36983,2539,21.719291
42213,5901,21.720496
71084,39352,21.729610
47790,0,21.732743
118,10689,21.733426
83660,21,21.737420
46195,178,21.739334
76546,0,21.744238
40309,53,21.753704
49490,97375,21.762876
7,0,21.762948
9162,5,21.764528
82756,24946,21.765877
48128,51,21.766365
33779,44636,21.766518
32761,118,21.768792
8552,0,21.769403
64833,0,21.774741
59212,6086,21.778036
50186,5404,21.781520
7201,475,21.782683
28882,5,21.783902
5202,53,21.785287
30230,5,21.791427
835,21,21.793142
49051,476,21.794482
3808,1232,21.797222
65084,0,21.797379
2600,165,21.799292
68,1130,21.804258
61240,0,21.806194
63041,0,21.807606
96871,118,21.811557
730,680,21.816286
23617,0,21.817437
4236,0,21.818127
47121,118,21.819651
37021,288,21.820527
263,37031,21.821026
85845,24221,21.823870
68984,5,21.827931
96378,26079,21.830824
19045,0,21.831066
90672,14250,21.832345
92855,0,21.834888
18309,87097,21.836059
2494,68,21.838232
41114,41314,21.841618
12493,53,21.843851
