1.374767 0.200000 53520 0 1 99998 2 [],[99999]
2.872871 0.300000 88534 0 1 99997 3 [],[99999]
3.313833 0.400000 38981 0 1 99996 4 [],[88534]
3.718891 0.800000 910 0 1 99995 5 [],[38981]
3.781572 3.200000 83461 0 1 99994 6 [],[910]
4.069788 3.200000 96037 0 1 99993 7 [],[38981]
4.240271 3.200000 26754 0 1 99992 8 [],[38981]
4.508574 3.400000 6953 0 1 99991 9 [],[910]
4.820744 4.600000 20547 0 1 99990 10 [],[96037]
4.863333 4.800000 7253 0 1 99989 11 [],[53520]
5.356431 6.100000 82112 0 1 99988 12 [],[910]
5.434292 6.100000 27494 0 1 99987 13 [],[6953]
5.448623 6.400000 32319 0 1 99986 14 [],[910]
5.466124 6.400000 54993 0 1 99985 15 [],[910]
5.548155 6.500000 3928 0 1 99984 16 [],[910]
5.588290 6.900000 7828 0 1 99983 17 [],[53520]
5.642114 9.200000 5043 0 1 99982 18 [],[6953]
5.845198 10.000000 29308 0 1 99981 19 [],[26754]
5.871420 10.000000 53601 0 1 99980 20 [],[910]
5.908597 10.000000 9720 0 1 99979 21 [],[6953]
5.915676 10.300000 10792 0 1 99978 22 [],[7828]
5.925207 11.200000 66240 0 1 99977 23 [],[7253]
6.024318 11.200000 21378 0 1 99976 24 [],[9720]
6.053754 11.300000 97216 0 1 99975 25 [],[910]
6.308394 11.300000 56564 0 1 99974 26 [],[6953]
6.311154 11.400000 37861 0 1 99973 27 [],[27494]
6.510406 11.600000 28288 0 1 99972 28 [],[7828]
6.521108 11.700000 675 0 1 99971 29 [],[66240]
6.555115 14.900000 68642 0 1 99970 30 [],[675]
6.558342 14.900000 39765 0 1 99969 31 [],[910]
6.612295 15.000000 46330 0 1 99968 32 [],[7828]
6.691898 15.000000 35162 0 1 99967 33 [],[675]
6.722080 15.100000 98680 0 1 99966 34 [],[39765]
6.725677 15.100000 17049 0 1 99965 35 [],[68642]
6.806033 15.400000 40454 0 1 99964 36 [],[7828]
6.834810 15.400000 14687 0 1 99963 37 [],[7253]
6.865712 16.100000 64780 0 1 99962 38 [],[82112]
6.893918 16.200000 12679 0 1 99961 39 [],[7828]
6.909734 16.900000 9053 0 1 99960 40 [],[37861]
7.020423 17.600000 73384 0 1 99959 41 [],[7253]
7.102637 17.600000 54709 0 1 99958 42 [],[14687]
7.105630 17.600000 45309 0 1 99957 43 [],[910]
7.173308 17.800000 667 0 1 99956 44 [],[54709]
7.227383 22.900000 4744 0 1 99955 45 [],[675]
7.246032 23.000000 91096 0 1 99954 46 [],[10792]
7.251779 23.000000 91 0 1 99953 47 [],[910]
7.253207 34.900000 65 0 1 99952 48 [],[91]
7.253756 48.600000 3952 0 1 99951 49 [],[7828]
7.289528 49.600000 31341 0 1 99950 50 [],[667]
7.293020 50.000000 49480 0 1 99949 51 [],[65]
7.304282 50.100000 1805 0 1 99948 52 [],[667]
7.316223 52.500000 27392 0 1 99947 53 [],[1805]
7.319650 52.800000 784 0 1 99946 54 [],[667]
7.322491 53.900000 5001 0 1 99945 55 [],[65]
7.323058 54.600000 48550 0 1 99944 56 [],[667]
7.328749 54.700000 3702 0 1 99943 57 [],[675]
7.348273 54.900000 34010 0 1 99942 58 [],[27392]
7.349869 54.900000 18508 0 1 99941 59 [],[91]
7.386915 55.000000 94897 0 1 99940 60 [],[65]
7.393017 55.100000 651 0 1 99939 61 [],[65]
7.400331 56.400000 21899 0 1 99938 62 [],[3952]
7.446864 56.400000 66611 0 1 99937 63 [],[91]
7.456021 56.400000 59244 0 1 99936 64 [],[667]
7.465542 56.600000 4575 0 1 99935 65 [],[21378]
7.465957 59.300000 79212 0 1 99934 66 [],[91]
7.483736 59.300000 4983 0 1 99933 67 [],[91]
7.486936 59.500000 76573 0 1 99932 68 [],[667]
7.495019 59.500000 1773 0 1 99931 69 [],[7253]
7.505370 60.600000 25667 0 1 99930 70 [],[12679]
7.519363 60.800000 52308 0 1 99929 71 [],[651]
7.558470 60.900000 88703 0 1 99928 72 [],[12679]
7.562222 60.900000 20270 0 1 99927 73 [],[21899]
7.596773 61.500000 58186 0 1 99926 74 [],[54993]
