IDPOP,TIME_SEQ,SEQ_COUNT
99999,20.950101,1
7818,7.566557,1
38578,15.495593,1
9721,7.268558,1
15163,6.924970,1
40336,20.835594,1
17377,8.093511,1
50176,12.812736,1
36640,12.170578,1
60653,18.894929,1
73601,13.495890,1
61187,21.366407,1
52763,12.143955,1
15072,11.854046,1
6809,15.867376,1
1268,13.765017,1
38213,15.460589,1
67934,19.536186,1
304,13.762516,1
87851,9.061928,1
28882,9.297323,1
39251,17.226050,1
956,18.536924,1
37932,16.971923,1
72744,11.239174,1
42700,11.906853,1
17299,21.806841,1
92809,20.404447,1
193,14.413914,1
5423,13.790841,1
4222,12.585703,1
7627,15.236788,1
63397,20.397837,1
15918,21.270697,1
42833,15.055258,1
35281,10.284169,1
3517,19.087125,1
9821,14.075906,1
20549,15.900521,1
3303,16.672157,1
15862,11.616839,1
89734,16.876563,1
22,18.105759,1
11712,21.737681,1
355,11.328089,1
4420,18.606997,1
87298,14.072123,1
39917,17.640443,1
1246,14.328453,1
14654,12.760889,1
62694,9.720779,1
25860,12.611544,1
71860,11.853966,1
73606,16.761538,1
10893,13.104316,1
61939,11.401494,1
33867,11.232972,1
49143,14.110456,1
59690,12.990634,1
70702,15.615235,1
83227,17.969909,1
1572,21.992320,1
74403,18.012414,1
39849,15.781624,1
50058,10.810585,1
8312,16.812034,1
92035,17.110544,1
9658,12.160540,1
9281,17.462603,1
19943,16.556454,1
3052,17.408062,1
7130,21.335780,1
30901,10.339278,1
73262,19.496357,1
51339,13.737612,1
68168,17.105077,1
99251,16.513749,1
65989,19.824092,1
84035,15.606550,1
5103,20.143134,1
66520,13.895269,1
57207,11.303437,1
21244,19.867313,1
6172,20.145363,1
32950,13.458482,1
32016,10.364119,1
22222,13.158980,1
47275,22.186461,1
50,16.910614,1
37617,11.102161,1
91548,13.087783,1
980,21.646848,1
26171,21.322110,1
90365,18.245461,1
9799,11.681528,1
2067,17.556497,1
81186,18.793478,1
53213,15.424875,1
7364,17.913191,1
2409,17.142819,1
3510,16.534517,1
89525,13.247602,1
13950,17.633232,1
66039,13.593015,1
134,13.335546,1
98321,11.127542,1
29757,12.619719,1
55578,21.593519,1
460,14.959221,1
37280,17.218749,1
57152,13.839612,1
62516,22.000774,1
37692,15.826574,1
29394,12.600506,1
739,12.380383,1
41191,18.952372,1
36315,10.751057,1
72136,11.564268,1
16360,14.219522,1
85157,16.739370,1
21105,13.326211,1
5685,12.164856,1
14544,16.074331,1
94380,16.070285,1
5690,17.852944,1
58000,14.079379,1
94556,13.921988,1
95283,16.834626,1
939,17.420656,1
81785,20.018826,1
17106,21.216236,1
16344,15.077558,1
57710,13.238574,1
2682,20.974880,1
498,21.833105,1
46499,19.625572,1
19084,20.677304,1
62098,13.511453,1
70456,18.294385,1
32,19.364781,1
75966,21.530655,1
15421,21.003497,1
60057,14.678294,1
689,12.929513,1
46902,11.429609,1
1691,16.589627,1
35393,19.516409,1
9970,18.960708,1
24336,19.955986,1
1073,14.452979,1
65262,18.470092,1
16114,21.050651,1
36886,11.953887,1
9969,19.479814,1
1723,20.199747,1
35029,21.151161,1
78749,17.114775,1
19729,17.072607,1
96326,12.067507,1
83892,12.086496,1
28054,17.996523,1
36849,20.279401,1
5534,16.664166,1
45,17.432610,1
41678,20.718661,1
43264,16.759195,1
12192,15.806485,1
44609,12.850286,1
27222,15.224759,1
54443,14.591811,1
7111,12.205775,1
2246,18.015442,1
64635,11.497733,1
52284,11.685281,1
28259,18.013706,1
61484,11.425833,1
9607,20.015451,1
63831,19.719444,1
57594,20.502216,1
98669,11.141620,1
95362,21.520151,1
79335,18.204060,1
71122,15.043784,1
79823,16.705271,1
2735,16.206531,1
18656,15.475581,1
10777,13.134941,1
19026,16.180296,1
45483,17.764608,1
352,12.845158,1
33874,12.465743,1
321,14.457823,1
48233,19.815280,1
91691,13.032441,1
38626,22.076081,1
41564,19.223562,1
70838,13.404413,1
61881,14.838659,1
10056,12.040562,1
28176,19.925555,1
