IDPOP,TIME_SEQ,SEQ_COUNT
99999,147.820156,1
15517,107.357106,1
53816,120.419550,1
68023,113.883645,1
8449,129.641072,1
4538,97.961000,1
47475,101.751191,1
36585,14.911684,1
58917,155.302995,1
18212,96.760961,1
82274,131.701764,1
15108,22.076205,1
49775,25.211936,1
130,43.091139,1
67307,68.753559,1
11499,33.178146,1
1407,28.975180,1
36190,161.051881,1
40649,85.072742,1
83939,107.253869,1
51576,80.563775,1
49828,113.856584,1
35076,104.564332,1
80987,148.783827,1
72036,109.882534,1
49065,109.626072,1
44763,67.677948,1
40198,58.286606,1
14851,31.682910,1
32116,26.635738,1
24982,11.256152,1
252,110.454213,1
25122,96.216285,1
8526,110.385985,1
98309,125.199106,1
34978,14.964047,1
54948,32.207219,1
18797,116.209283,1
91506,124.566988,1
2162,19.826957,1
38888,116.230408,1
57077,54.682430,1
18854,125.405334,1
42430,95.271174,1
3489,111.482664,1
976,89.369180,1
103,98.432065,1
18665,100.954197,1
56508,9.423820,1
420,62.209865,1
29884,156.376874,1
54727,29.089755,1
54472,53.470077,1
23100,120.400783,1
45364,69.862030,1
61227,145.950033,1
89023,17.566133,1
30507,35.820686,1
5482,8.683717,1
16677,55.732799,1
54056,148.034405,1
897,144.892632,1
37,129.883857,1
53207,38.203065,1
74164,118.870273,1
10514,104.455227,1
65829,33.281262,1
6065,145.867716,1
2490,15.196867,1
1194,125.552241,1
65455,145.858628,1
2494,44.710576,1
40076,157.857762,1
5577,128.788106,1
57203,72.712492,1
60610,61.280643,1
13842,138.981482,1
1295,82.343922,1
98330,162.475518,1
11262,82.975655,1
664,77.744797,1
7149,77.105499,1
32101,121.627311,1
98280,33.556814,1
75757,148.201821,1
23585,139.127808,1
2576,68.237978,1
27820,147.897613,1
16227,92.684308,1
27284,12.376627,1
78306,48.493457,1
14794,147.354485,1
5351,37.060601,1
16819,107.302031,1
3297,104.314721,1
29346,72.653770,1
32662,14.220273,1
9185,53.544316,1
63093,82.913984,1
85,98.959478,1
9288,62.852633,1
2179,100.873748,1
98912,86.350240,1
97726,37.869755,1
733,105.605708,1
59263,31.606792,1
49616,14.066625,1
8628,84.517347,1
118,59.057433,1
727,148.022779,1
