IDPOP,TIME_SEQ,SEQ_COUNT
99999,24.048344,1
25818,13.829058,1
927,17.963312,1
1851,7.395510,1
18472,5.056732,1
58,5.246014,1
21119,17.755790,1
5166,24.285093,1
24735,6.510598,1
94831,12.717420,1
25494,8.668100,1
9037,10.090796,1
714,26.809123,1
21242,20.306276,1
29970,17.521150,1
6959,8.880072,1
35797,6.232662,1
3,21.888854,1
69477,19.701091,1
39779,20.785080,1
50863,12.490846,1
14980,27.005204,1
71272,24.165772,1
65443,19.498326,1
69542,8.668186,1
67378,24.532816,1
99199,18.761053,1
95549,26.569605,1
47910,14.036573,1
16909,16.618811,1
41,7.410278,1
75664,14.395608,1
17376,24.434956,1
38064,24.823632,1
2625,19.192090,1
30282,16.739694,1
18647,12.581568,1
64774,17.019359,1
39639,6.808115,1
1719,25.853305,1
20894,23.677274,1
24911,14.521209,1
11925,20.407426,1
723,25.250545,1
19285,24.591853,1
55952,10.421900,1
15580,25.557355,1
13116,20.309454,1
136,23.710673,1
67366,19.964748,1
320,15.933884,1
2831,8.058890,1
98349,16.971835,1
1606,17.227005,1
34817,10.348971,1
5919,18.843419,1
13699,15.771108,1
59876,14.605186,1
65593,13.104010,1
1464,25.402234,1
47399,13.332816,1
78340,12.146408,1
26025,27.264831,1
12839,9.040174,1
55,23.920327,1
52565,27.567022,1
62971,12.916487,1
97880,16.196552,1
5712,14.887054,1
12768,25.157036,1
30501,10.903871,1
71414,6.820794,1
7627,18.672041,1
75556,20.610174,1
7259,24.447028,1
29641,23.449282,1
92956,20.117424,1
60279,26.050003,1
929,26.967161,1
92369,20.058487,1
53650,24.421102,1
48854,22.396081,1
3348,20.334636,1
17583,17.428492,1
30661,24.740141,1
42894,7.657768,1
2042,17.384659,1
3321,18.335523,1
17546,26.061356,1
38285,13.677766,1
33487,13.024248,1
46438,18.342231,1
64375,8.539635,1
4538,22.166316,1
197,17.622904,1
1810,15.455868,1
19508,9.844865,1
2208,20.052223,1
2612,22.428188,1
61764,8.731958,1
19854,19.688488,1
10425,15.263927,1
1740,22.024004,1
56241,27.147733,1
50647,8.846942,1
91444,19.954757,1
49405,8.048410,1
59113,22.747919,1
32415,7.648455,1
88717,23.365768,1
8,19.878726,1
87307,18.563199,1
2493,13.206224,1
2942,23.330060,1
4282,24.491263,1
489,9.498206,1
8759,19.364093,1
72219,26.673299,1
42608,11.901522,1
61358,23.296443,1
21961,17.805301,1
3294,18.199996,1
41450,13.878042,1
61694,12.471219,1
25085,8.624161,1
771,23.833029,1
43426,16.491551,1
28482,23.956195,1
442,9.506778,1
56595,14.894324,1
48325,17.199610,1
42590,23.486541,1
5597,8.170807,1
13679,27.167020,1
32199,21.531141,1
24844,27.452665,1
10550,14.842479,1
18079,15.385469,1
29720,17.215064,1
53026,12.753838,1
53937,18.567004,1
97528,11.337928,1
612,22.232044,1
56133,22.445709,1
1,16.920353,1
104,23.123760,1
93753,19.367602,1
4003,8.807978,1
43319,21.084747,1
1149,12.105075,1
1457,20.536343,1
27353,27.361148,1
23290,18.352688,1
8387,19.694659,1
49192,24.518468,1
78614,21.893889,1
72800,15.509367,1
398,22.857470,1
52658,18.992114,1
67741,20.274060,1
52556,25.560906,1
35311,7.608989,1
37767,8.022237,1
74603,14.537502,1
22430,16.720026,1
35597,13.744703,1
7679,19.000824,1
31528,22.209357,1
1724,17.276074,1
10941,27.211392,1
2039,26.157840,1
37986,26.150238,1
54765,21.343191,1
31128,20.759942,1
16156,21.029870,1
1626,15.507261,1
90407,8.324919,1
82999,19.055549,1
39708,8.498990,1
46762,13.492035,1
81957,11.418264,1
9347,11.096348,1
519,21.840908,1
42455,8.335381,1
36,19.946363,1
2854,16.604777,1
48562,11.220223,1
64296,18.926632,1
2270,11.779513,1
23299,15.910264,1
