IDPOP,TIME_SEQ,SEQ_COUNT
99999,11.754174,1
4,15.085671,1
39929,7.505599,1
1816,11.307711,1
345,9.667967,1
555,10.469919,1
9145,15.466342,1
2131,6.474324,1
5009,3.298556,1
31675,15.127928,1
93341,8.972729,1
81589,12.099323,1
53442,10.336161,1
29832,5.449575,1
7159,8.679474,1
49615,21.861505,1
2064,17.919021,1
62050,15.056565,1
6201,8.562592,1
24229,8.599959,1
311,13.044766,1
242,10.969323,1
76014,20.936690,1
92902,21.737974,1
30,20.562466,1
27558,15.962431,1
8494,13.798062,1
589,5.514781,1
54510,13.522058,1
42607,7.965734,1
39115,4.581660,1
14077,17.881987,1
13012,4.813979,1
4296,4.700722,1
2679,7.358934,1
6173,12.010266,1
33237,3.904534,1
2534,13.731470,1
34412,12.932905,1
95082,9.715880,1
13952,15.665483,1
58747,13.611885,1
44526,15.047769,1
9659,4.659391,1
73794,15.469814,1
19710,14.751687,1
24480,18.841344,1
51793,5.186426,1
86626,7.027663,1
76056,3.615348,1
20195,15.259970,1
8528,16.179517,1
49541,12.692558,1
88182,18.055974,1
10849,4.050392,1
9977,16.195175,1
57805,20.016119,1
97966,15.817573,1
1553,9.658031,1
77539,20.306621,1
0,11.726620,1
88,5.077019,1
100,10.179124,1
47086,19.713476,1
1480,4.610149,1
8122,5.478217,1
51776,14.162827,1
8071,16.627539,1
59867,15.770493,1
28418,18.347131,1
13181,20.694518,1
9152,14.187587,1
5325,17.795481,1
10505,9.919184,1
92291,16.162868,1
32680,17.637910,1
39094,11.500858,1
25,8.834087,1
22356,7.102523,1
18941,4.894603,1
37926,6.877263,1
888,6.502976,1
79981,14.296616,1
25684,13.595861,1
3782,13.967625,1
56242,10.528970,1
745,5.653996,1
52288,13.286628,1
2633,7.284290,1
11121,19.154308,1
82736,13.549121,1
32714,20.795213,1
17046,18.188824,1
29948,11.242234,1
22824,9.092477,1
20141,17.105655,1
12776,4.487425,1
59,11.914569,1
36258,3.945810,1
36308,10.060757,1
2787,14.264464,1
16251,13.613705,1
11103,6.735786,1
20789,12.797199,1
8280,17.903706,1
19993,12.337414,1
1826,8.548235,1
3473,6.656625,1
29437,11.060537,1
90590,4.047111,1
85060,10.349176,1
41488,21.464100,1
4381,6.323648,1
31556,4.668527,1
5444,7.346842,1
6673,4.442881,1
5515,6.512585,1
82632,11.110767,1
55207,12.689317,1
48053,12.727811,1
98466,5.837951,1
46600,13.570279,1
338,9.877069,1
38892,5.390199,1
68881,5.968653,1
38000,10.587155,1
26749,21.116560,1
6919,10.916134,1
20943,6.567690,1
25078,11.015444,1
68532,9.866899,1
6251,7.224080,1
19439,9.994203,1
39864,14.979883,1
35603,9.378053,1
2601,11.233185,1
30831,18.296520,1
1613,13.867838,1
27076,7.388648,1
