IDPOP,TIME_SEQ,SEQ_COUNT
99999,32.701846,1
45475,26.387333,1
16798,7.204914,1
6373,42.818129,1
6141,24.858865,1
33526,16.674224,1
54188,37.592528,1
38057,31.250371,1
98502,10.893147,1
14047,10.002552,1
5872,17.240560,1
958,35.759510,1
92866,19.682283,1
10198,8.527927,1
37996,24.094211,1
3961,14.730750,1
40345,40.061946,1
2359,25.480748,1
66215,21.545056,1
9938,20.737225,1
70667,23.852953,1
86520,39.702752,1
194,42.754381,1
81646,9.929755,1
35578,39.724179,1
4614,37.669636,1
597,19.657305,1
33087,37.647371,1
1317,30.321225,1
88240,9.773138,1
355,12.178082,1
37699,15.800358,1
78799,44.414223,1
2705,27.899289,1
89629,23.963310,1
43127,20.907854,1
41048,19.727268,1
99044,26.102413,1
2036,21.857717,1
5206,16.834308,1
2122,39.086443,1
70175,38.557194,1
2572,31.935153,1
34321,31.293005,1
2353,13.517320,1
81627,16.267745,1
27,38.514509,1
52451,12.872600,1
6514,37.361088,1
3920,27.289416,1
84147,35.781001,1
3098,37.739218,1
92907,18.965369,1
6303,39.992501,1
2861,29.586510,1
41627,13.033020,1
5256,41.734586,1
80910,10.856172,1
93691,17.900442,1
3549,26.338812,1
25302,14.277607,1
80151,16.284264,1
24979,41.324211,1
91926,13.246764,1
8307,36.529198,1
26989,36.629772,1
49287,33.226998,1
6376,24.582797,1
635,22.646512,1
47447,39.961447,1
13794,24.116626,1
93030,27.933365,1
63209,42.104257,1
16934,41.010679,1
24438,37.827262,1
26064,11.353364,1
3208,33.159455,1
1061,39.013166,1
97266,29.381766,1
64866,16.076428,1
65037,10.768748,1
4027,28.906857,1
22907,12.357712,1
93208,40.366421,1
29095,30.817716,1
77195,23.656521,1
38496,29.835403,1
47089,25.815157,1
13770,36.491562,1
67245,18.363764,1
88297,21.915089,1
45381,30.051347,1
1252,37.064151,1
9699,30.165096,1
24042,14.357355,1
1963,32.602349,1
69630,30.592045,1
33689,34.845330,1
14367,39.596703,1
46420,23.651348,1
63009,29.682709,1
42847,42.662316,1
31015,33.081070,1
39276,13.338550,1
22778,42.059651,1
52054,23.882141,1
16314,23.194488,1
14819,19.681498,1
67049,24.373561,1
43518,35.544266,1
29859,26.322639,1
41592,29.738414,1
30998,39.214090,1
2476,44.034669,1
4858,37.426672,1
396,15.490691,1
2392,38.433288,1
73062,41.263226,1
37043,18.431683,1
44572,14.600316,1
