IDREC,IDTR,TIME_TR
21872,1,20.028456
4730,80,20.030962
72578,2084,20.033239
50475,1,20.033949
35387,78559,20.035622
600,1291,20.035998
75707,2,20.038026
45606,26359,20.038723
9707,2,20.040952
9241,469,20.041282
3898,136,20.043508
8163,113,20.044944
45317,410,20.044945
40548,1750,20.045176
50661,2,20.051418
17187,84424,20.053588
5044,43082,20.054807
72221,6,20.059379
55411,14990,20.061972
86621,2,20.062080
61658,6,20.064240
82022,6,20.070447
65422,6,20.072677
78477,18217,20.072839
8155,121,20.077614
8094,27747,20.078163
3018,24471,20.079125
52232,80,20.079273
23505,2448,20.079423
2936,113,20.083895
8009,89,20.083926
54580,30,20.084117
58874,296,20.087352
3,305,20.091059
9094,2,20.091785
95303,542,20.092880
15380,3,20.093262
79083,9241,20.094435
37313,6,20.094868
2740,3,20.098136
18992,80,20.099021
63556,1750,20.101465
48500,7451,20.104303
29089,2,20.105842
22798,2873,20.106042
77483,8156,20.107265
7725,70,20.109274
12184,10705,20.115538
16227,6,20.120522
6365,30,20.126353
84097,70,20.126871
96917,305,20.127886
19298,2,20.128285
50711,2873,20.133582
24814,121,20.137543
207,70264,20.140469
92622,3,20.142856
29672,14990,20.145913
7233,2,20.148404
35064,37077,20.153005
39379,2,20.158491
56276,4100,20.159412
27051,4497,20.159542
25274,305,20.162899
46599,1,20.163050
1734,2,20.163967
71394,410,20.169255
10355,6,20.172124
36149,1,20.174773
2493,1,20.181800
465,80,20.183292
1108,3,20.184077
74348,3,20.184196
10697,1,20.192965
32814,4,20.195042
18803,126,20.199806
34164,121,20.204262
31,2,20.205543
3223,3,20.206106
19171,296,20.206896
27319,6366,20.207373
190,3,20.207773
38020,27946,20.211035
11644,8617,20.214490
21301,80,20.214601
46511,1,20.214601
3890,3,20.224335
18054,2,20.224560
88681,5283,20.228901
47918,2936,20.232963
48568,18054,20.237039
30050,1,20.242035
43157,80,20.243464
10556,3,20.243847
2375,14637,20.244793
70695,39669,20.245219
8613,3,20.248181
85044,113,20.248225
70378,2,20.252457
77580,9196,20.255861
19552,136,20.256512
1088,6,20.258195
7966,2375,20.260865
5319,80,20.262477
56843,3,20.264080
16849,562,20.265038
94130,8009,20.265840
29341,1088,20.265962
40259,31,20.267372
73875,3890,20.268377
25233,136,20.273180
45557,14990,20.276501
64490,2,20.278077
1307,30,20.283755
32412,29672,20.285841
9979,6,20.287268
1199,2375,20.289228
64212,465,20.292077
54577,121,20.292531
8394,95038,20.296892
51198,2012,20.300237
50572,80,20.305122
8647,89,20.312287
1849,70,20.316536
51339,3,20.316601
84,136,20.323664
11712,84,20.326963
30272,80,20.327618
21561,3,20.328511
88662,1,20.328668
2860,30,20.332040
68590,126,20.332296
9030,1,20.337855
2561,70,20.337992
98349,31,20.338835
437,2,20.339768
60804,3,20.341890
97847,2561,20.342715
66169,70,20.342933
6579,78783,20.343760
5816,56843,20.343986
6402,126,20.351063
91546,16849,20.352773
5128,1,20.354186
68560,1307,20.358379
71417,296,20.358818
69473,70,20.360010
941,437,20.361245
83315,2,20.362595
12432,80,20.363191
6808,6,20.368256
6569,190,20.368393
8377,1,20.368576
198,6,20.369978
643,19171,20.370997
31793,3,20.372052
51244,84,20.377977
24419,1,20.379782
18533,7233,20.384469
25198,113,20.387118
79519,3,20.388929
238,16694,20.389385
264,2,20.391097
1040,4356,20.391887
16648,3,20.393088
9550,238,20.393574
54102,70,20.405215
14201,84,20.407555
68274,207,20.407723
1627,2936,20.408143
31552,1108,20.409287
64717,121,20.411434
1400,162,20.414223
6140,2375,20.423569
26893,3,20.424060
10522,3,20.424513
135,207,20.425981
3011,3,20.426820
887,2,20.429465
47102,437,20.433095
599,3862,20.434247
2330,238,20.434923
90959,80,20.441093
36808,2330,20.443130
62661,3,20.444446
89650,2,20.444485
5985,1,20.446401
78574,136,20.450736
2296,80,20.452832
2503,26416,20.454855
83380,30,20.455105
25270,3,20.455336
18371,190,20.457430
31861,35279,20.458407
32354,6,20.458862
583,54333,20.459975
43186,7444,20.460539
75297,469,20.460776
34701,6,20.463770
477,1,20.465326
48133,18032,20.465542
94100,2,20.467037
30241,583,20.467948
99302,10705,20.469886
36283,31,20.470651
49279,1400,20.471095
12777,469,20.471114
37139,599,20.471720
6453,643,20.474205
10048,126,20.475317
81006,98166,20.475647
593,1,20.476721
368,136,20.477579
78794,6,20.479783
63876,8377,20.480023
62232,21049,20.482622
38938,135,20.482635
28218,190,20.482852
45217,6,20.483224
2841,3,20.483416
7318,3,20.483866
58939,756,20.484571
7545,84,20.487897
39953,2,20.492636
94219,368,20.493588
39128,1,20.493855
17174,11712,20.494562
13938,135,20.494940
42009,9241,20.497995
1816,2330,20.498420
28829,1040,20.498607
89376,1,20.500415
81236,6,20.501228
41967,1,20.501581
46719,1307,20.505114
56624,190,20.505367
85616,3,20.510881
54517,121,20.513125
25056,296,20.513517
21159,2,20.513722
4323,305,20.515483
87174,84,20.518006
4424,207,20.519308
92483,2,20.527336
39205,6,20.530555
48,55,20.531870
22734,80,20.533102
38244,4,20.534686
2047,2105,20.536184
21084,264,20.540793
14793,113,20.540953
25,31,20.544580
33668,6,20.546016
68344,437,20.548886
69132,3,20.549836
33117,48,20.553088
62838,121,20.554574
4279,2,20.556402
68172,2047,20.557989
37353,4,20.559087
98689,25,20.562187
13607,6,20.562222
68398,135,20.563061
71955,84,20.563706
73239,6569,20.564387
34430,20783,20.566308
48689,2375,20.568933
27083,2373,20.571947
43069,2,20.572624
36987,7233,20.574310
23243,30,20.574454
383,2,20.576126
69141,437,20.577302
16292,190,20.578245
58628,1,20.579503
55423,469,20.579712
1733,40548,20.582637
84528,135,20.583119
54767,3,20.585352
794,238,20.587107
40335,3,20.588235
9839,3,20.589942
42465,26486,20.590560
790,55,20.595163
16661,3,20.597554
64303,7749,20.598566
79634,6,20.599715
4611,2375,20.600901
32672,1761,20.601985
10995,3,20.602013
6855,19552,20.606036
11731,2,20.606305
39126,2,20.606590
892,9839,20.607780
85404,84528,20.608587
13,1,20.608883
2905,10318,20.610043
3137,892,20.610267
91025,1627,20.611398
18733,1307,20.614498
80464,1400,20.615234
1421,84,20.617714
1919,892,20.618003
99225,3787,20.619116
30454,4038,20.619132
4197,2296,20.623427
17267,11712,20.624428
59439,13,20.624796
8233,62613,20.625071
17611,136,20.625255
3996,6,20.625629
13012,66169,20.627528
30496,469,20.628195
17484,410,20.629444
18346,5816,20.631189
5161,198,20.631380
42585,3,20.635991
6163,85044,20.637246
16529,2,20.640994
1322,794,20.641494
72822,2296,20.643605
72879,437,20.644195
