IDREC,IDTR,TIME_TR
99999,NA,0
13117,99999,0.688986
38501,13117,1.065416
10829,38501,2.011937
92779,38501,2.506126
67138,99999,5.230712
67320,92779,5.608920
8558,10829,5.982127
14052,67138,6.751990
32343,8558,7.272781
4589,67138,7.846371
48,13117,8.613869
1725,48,8.741306
6370,48,8.751186
7985,48,8.790626
53878,48,8.854366
76534,48,8.892665
45793,48,8.973702
14579,1725,9.032284
5593,48,9.040775
1741,48,9.071324
1691,4589,9.097067
70349,13117,9.098851
1640,48,9.106805
94491,4589,9.114038
4893,48,9.151061
14686,1725,9.198756
53023,48,9.360190
1665,4589,9.374321
3298,1640,9.387780
96832,7985,9.395133
878,48,9.419535
24812,3298,9.429277
42167,48,9.436514
73164,7985,9.473363
28514,1725,9.490794
11456,1665,9.512999
80394,28514,9.513528
47535,1725,9.539824
9822,1741,9.565625
46373,1691,9.620474
553,48,9.637278
28626,24812,9.639130
42479,28626,9.654527
46817,70349,9.657093
63931,48,9.672211
79773,4589,9.675307
19018,1640,9.683558
28309,48,9.698368
11588,48,9.741205
11607,1725,9.752685
27169,9822,9.756542
13942,48,9.774200
20758,1640,9.818949
32280,48,9.851536
18195,6370,9.895121
45380,48,9.917186
59443,48,9.966787
47139,6370,9.982826
3901,1725,10.000472
72934,11588,10.021875
64248,13942,10.191306
75537,1741,10.284231
91402,48,10.308122
23461,7985,10.319048
5157,48,10.321403
36054,1640,10.325020
99381,1691,10.325145
82347,48,10.330186
5680,553,10.348355
71268,1725,10.376819
81229,48,10.429500
28663,5680,10.483523
30323,48,10.508056
40541,48,10.569839
2302,1725,10.585408
1530,48,10.649369
10608,28663,10.653195
45407,48,10.702898
76088,40541,10.725548
18545,1530,10.733063
9704,1665,10.756858
17789,14052,10.772003
463,11456,10.796751
18811,6370,10.810687
57200,11588,10.829581
48236,47139,10.845654
10245,48,10.866463
92026,10608,10.881701
37698,11607,10.889775
29741,46817,10.936394
14951,10608,10.937887
30152,94491,10.940338
38493,878,10.942340
47130,28663,10.944898
2872,14052,10.945881
29972,553,10.952087
83087,48,10.983165
11140,48,11.026355
78882,48,11.047593
15830,13942,11.085291
43231,1691,11.123325
17523,48,11.132987
2043,1691,11.148006
6937,29972,11.152144
11324,1691,11.152785
62638,553,11.197738
3,32280,11.208687
50925,3,11.210808
51986,14579,11.221304
6647,3,11.222217
42432,11324,11.224099
27997,3,11.224318
82866,463,11.233433
62173,3,11.248459
70662,3,11.253201
37781,3,11.255330
30924,3,11.255501
11047,3,11.256103
51428,553,11.258849
2,878,11.272109
92679,3,11.274633
32722,2,11.275429
36518,3,11.279179
30575,2,11.281654
7580,3,11.282338
18595,2,11.285464
73541,3,11.290697
39846,2302,11.291841
48442,3,11.295226
47411,2,11.306167
15202,3,11.308455
2298,11588,11.311495
16555,2,11.316599
9318,3,11.318316
5704,2,11.325286
1589,2,11.330911
42559,5704,11.334801
100,3,11.343255
15717,2,11.344221
76200,3,11.344741
62179,2,11.346649
45699,48,11.357362
10137,3,11.357624
49794,2,11.358605
3972,2,11.363795
90072,3,11.373143
38372,51986,11.379513
18356,3,11.379526
40270,2,11.381331
10722,3,11.385985
11834,7580,11.387999
4101,3,11.392021
688,2,11.393977
4172,3,11.396238
62640,48,11.397168
41681,3,11.397898
2862,3,11.410831
2409,2,11.420767
1712,688,11.424974
14260,3,11.427845
47840,688,11.429640
61974,2,11.430467
11401,463,11.432912
62146,553,11.433845
8091,3,11.438972
53172,100,11.438976
17735,3,11.442499
68,5593,11.447178
71392,3901,11.456619
12216,2,11.473052
15360,39846,11.476168
8218,2,11.476399
10231,10608,11.476862
9585,3,11.477609
62117,71268,11.480520
15721,3,11.482225
10806,3,11.492195
22977,2,11.493215
11904,1640,11.503800
12083,17735,11.504333
16467,2,11.505065
27021,3,11.507247
42065,5704,11.508643
14799,3,11.509081
59383,9585,11.509199
66533,2,11.509901
517,2,11.512287
2674,3,11.516523
97077,1712,11.518826
4087,68,11.521084
90851,553,11.525398
12699,3,11.528234
26050,2,11.535083
3684,100,11.537933
71743,3,11.545457
3831,3,11.551086
9383,3,11.551169
19019,2,11.551701
54731,3,11.554173
